W00201000386,IDP000038627,25 May 2015,(PA) Dihapuskan - Piutang Lunas,50.2318,24-Jun-10,5-Feb-10,12-Jun-09,"2008-181216 11 Jul 2008 JP
",B22D 18/04,"1) NICHIAS CORPORATION
2) TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201803838,IDP000072403,23 Oct 2020,(PA) Diberi Paten,2018/10523,28-Sep-18,25-May-18,18-Oct-16,"2015-211499 28 Oct 2015 JP
","F16H 59/18,F16H 61/02,F16H 61/662,F16H 63/50","NISSAN MOTOR CO., LTD."
P00201903405,,11 Dec 2020,(PA) Persetujuan Direktur untuk Diberi,2019/03111,10-May-19,,-,"- - -
","B60W 30/06,B62D 15/02,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201810975,IDP000068334,26 Mar 2020,(PA) Diberi Paten,2019/00570,25-Jan-19,26-Dec-18,27-May-16,"- - -
","H02M 3/00,H02M 7/04,H02M 7/48","NISSAN MOTOR CO., LTD."
PID201802553,IDP000071311,08 Sep 2020,(PA) Diberi Paten,2018/08813,10-Aug-18,18-Sep-15,18-Sep-15,"- - -
","F02D 41/00,F02D 9/02","NISSAN MOTOR CO., LTD."
P00201801227,IDP000065477,13 Dec 2019,(PA) Diberi Paten,2018/07927,27-Jul-18,19-Feb-18,28-Jul-15,"- - -
","B60K 31/00,B60R 21/00,G08G 1/16","NISSAN MOTOR CO., LTD."
PID201802585,,28 Sep 2015,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08823,10-Aug-18,,-,"- - -
","G02B 27/01,B60K 35/00","NISSAN MOTOR CO., LTD."
PID201802586,IDP000070985,24 Aug 2020,(PA) Diberi Paten,2018/08795,10-Aug-18,30-Sep-16,30-Sep-16,"2015-196489 02 Oct 2015 JP
","F16H 61/02,F16H 59/74,B60W 10/06,B60W 10/04,B60W 10/101,F16H 61/66","NISSAN MOTOR CO., LTD."
P00201800234,,10 Jan 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2018/07397,20-Jul-18,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
PID201802848,,25 Sep 2015,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08855,16-Aug-18,,-,"- - -
","B60R 16/033,H02J 7/14,H02J 7/34","NISSAN MOTOR CO.,LTD."
P00201709199,IDP000056859,25 Feb 2019,(PA) Diberi Paten,2018/06550,6-Jul-18,18-Dec-17,22-May-15,"- - -
","B22C 9/00,B22D 17/22,B22D 18/04,B22D 18/06,B22D 18/08","NISSAN MOTOR CO., LTD."
P00201902747,IDP000071963,07 Oct 2020,(PA) Diberi Paten,2019/05040,12-Jul-19,29-Mar-19,15-Sep-16,"- - -
","B60W 10/08,B60W 20/00","NISSAN MOTOR CO., LTD."
P00201801292,IDP000067060,04 Feb 2020,(PA) Diberi Paten,2018/07972,3-Aug-18,21-Feb-18,23-Jul-15,"- - -
","F02D 17/00,F02D 29/02,F02D 41/06,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201801294,IDP000070416,10 Aug 2020,(PA) Diberi Paten,2018/07973,3-Aug-18,27-Jul-15,27-Jul-15,"- - -
","G01C 21/34,G08G 1/00,G09B 29/00","NISSAN MOTOR CO., LTD."
PID201802554,,18 Sep 2015,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/08818,10-Aug-18,,-,"- - -
","F02D 9/02,F02D 41/00","NISSAN MOTOR CO., LTD."
P00201803654,IDP000065814,20 Dec 2019,(PA) Diberi Paten,2018/09100,16-Aug-18,21-May-18,22-Oct-15,"- - -
","B60R 21/00,G08G 1/16,H04N 7/18","NISSAN MOTOR CO., LTD."
P00201705498,IDP000060087,25 Jun 2019,(PA) Diberi Paten,2018/02294,9-Mar-18,21-Aug-17,26-Jan-15,"- - -
",B60L 15/20,"NISSAN MOTOR CO., LTD."
P00201807227,,17 Sep 2018,(PA) Ditarik Kembali oleh Pemohon,2018/13061,21-Dec-18,,-,"1651357 19 Feb 2016 FR
","F16H 61/28,F16H 63/50","NISSAN MOTOR CO., LTD."
P00201804183,,06 Jun 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/11271,19-Oct-18,,-,"- - -
","F02B 23/06,F02B 23/08,F02M 61/14,F02P 13/00,F02P 5/15","NISSAN MOTOR CO., LTD."
P00201901014,,01 Feb 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03803,31-May-19,,-,"2016-133219 05 Jul 2016 JP
","B60W 30/12,B62D 6/00","NISSAN MOTOR CO., LTD."
P00201806086,IDP000071832,28 Sep 2020,(PA) Diberi Paten,2018/10435,28-Sep-18,10-Aug-18,10-Jan-17,"2016-003702 12 Jan 2016 JP
","H02J 7/14,H02P 9/04","NISSAN MOTOR CO., LTD."
P00201806339,IDP000065280,11 Dec 2019,(PA) Diberi Paten,2019/00700,1-Feb-19,21-Aug-18,28-Nov-16,"2016-011032 22 Jan 2016 JP
","B60W 30/09,B60W 40/04,G08G 1/16","NISSAN MOTOR CO., LTD."
PID201801901,IDP000060483,10 Jul 2019,(PA) Diberi Paten,2018/08185,3-Aug-18,14-Mar-18,3-Sep-15,"- - -
","G06Q 30/06,G06Q 50/10","Nissan Motor Co., Ltd."
P00201704641,IDP000064463,11 Nov 2019,(PA) Diberi Paten,2018/00527,19-Jan-18,14-Jul-17,24-Dec-14,"- - -
","B22D 18/04,B22D 18/08","NISSAN MOTOR CO., LTD"
P00201702764,IDP000065164,10 Dec 2019,(PA) Diberi Paten,2017/14033,29-Dec-17,28-Apr-17,9-Oct-14,"- - -
","F01N 13/10,F02F 1/24,F02F 1/42","NISSAN MOTOR CO., LTD."
P00201704742,IDP000069309,30 Jun 2020,(PA) Diberi Paten,2018/03977,20-Apr-18,19-Jul-17,25-Jun-15,"2015-003893 13 Jan 2015 JP
","B60W 30/14,G08G 1/16,B60W 50/14","NISSAN MOTOR CO., LTD."
P00201907113,,16 Jan 2018,(PA) Pelayanan Teknis,2019/06263,23-Aug-19,,-,"2017-010565 24 Jan 2017 JP
",-,NISSAN MOTOR CO.. LTD.
P00201707428,IDP000064113,25 Oct 2019,(PA) Diberi Paten,2018/05380,25-May-18,25-Oct-17,27-Mar-15,"- - -
","G01C 21/34,G08G 1/00","NISSAN MOTOR CO., LTD."
P00201809051,IDP000066524,16 Jan 2020,(PA) Diberi Paten,2018/12255,16-Nov-18,9-Nov-18,14-Dec-16,"2016-083820 19 Apr 2016 JP
",B60L 15/20,"NISSAN MOTOR CO., LTD."
P00201800115,,05 Jan 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07387,20-Jul-18,,-,"- - -
",G06Q 50/10,"NISSAN MOTOR CO., LTD."
P00201800162,,08 Jan 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07125,20-Jul-18,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201801413,IDP000070187,29 Jul 2020,(PA) Diberi Paten,2018/08004,3-Aug-18,26-Feb-18,8-Jun-16,"2015-149033 28 Jul 2015 JP
","H02K 1/32,H02K 9/19","NISSAN MOTOR CO., LTD."
P00201801425,IDP000061937,28 Aug 2019,(PA) Diberi Paten,2018/07654,27-Jul-18,26-Feb-18,27-Jul-15,"- - -
",B60T 7/12,"NISSAN MOTOR CO., LTD."
P00201806760,,31 Aug 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2018/10431,28-Sep-18,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201809765,IDP000065281,11 Dec 2019,(PA) Diberi Paten,2018/12750,7-Dec-18,28-Nov-18,30-May-16,"- - -
","H01L 21/336,H01L 29/78,H01L 29/786","NISSAN MOTOR CO., LTD."
P00201800031,IDP000061068,26 Jul 2019,(PA) Diberi Paten,2018/06082,8-Jun-18,3-Jan-18,8-Jun-15,"- - -
","F02B 67/00,F02B 67/04,F02N 11/00,F02N 11/04,F16H 13/04","NISSAN MOTOR CO.,LTD."
P00201810888,,21 Dec 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/02363,5-Apr-19,,-,"1655822 22 Jun 2016 FR
","H02P 21/00,H02P 21/28","NISSAN MOTOR CO.,LTD."
P00201704551,IDP000056281,30 Jan 2019,(PA) Diberi Paten,2018/00337,12-Jan-18,12-Jul-17,15-Jan-15,"- - -
","B22D 18/04,B22D 18/08","NISSAN MOTOR CO., LTD."
P00201807962,IDP000072643,10 Nov 2020,(PA) Diberi Paten,2019/01580,1-Mar-19,5-Oct-18,2-Feb-17,"1652013 10 Mar 2016 FR
",F16H 57/04,"NISSAN MOTOR CO., LTD."
P00201807967,,05 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12708,7-Dec-18,,-,"1652009 10 Mar 2016 FR
","F16H 59/68,F16H 61/04,F16H 61/28,F16H 63/50,F16H 61/12","NISSAN MOTOR CO., LTD."
P00201801703,IDP000062977,27 Sep 2019,(PA) Pemberitahuan Informasi Pemeliharaan (Pertama & Kedua),2018/07655,27-Jul-18,7-Mar-18,9-Sep-15,"- - -
","B29B 11/16,B29C 39/10,B29C 53/04,B29C 63/04","NISSAN MOTOR CO., LTD."
P00201806281,,16 Aug 2018,(PA) Ketua Kelompok Pemeriksa Substantif,2018/10947,5-Oct-18,,-,"2016-007847 19 Jan 2016 JP
",-,"NISSAN MOTOR CO., LTD."
P00201810082,,05 Dec 2018,(PA) Ditarik Kembali oleh Pemohon,2019/00145,11-Jan-19,,-,"- - -
","B29B 15/08,B29C 39/10,B29C 70/16,B32B 37/12,C08J 5/04","NISSAN MOTOR CO., LTD."
P00201707237,IDP000063037,01 Oct 2019,(PA) Diberi Paten,2018/05283,18-May-18,19-Mar-15,19-Mar-15,"- - -
","B60K 6/22,B60K 6/48,B60W 10/06,B60W 10/26,B60W 20/00,B60W 30/18","NISSAN MOTOR CO., LTD."
P00201605477,IDP000059703,18 Jun 2019,(PA) Diberi Paten,2017/01290,24-Feb-17,19-Aug-16,25-Feb-14,"- - -
","B60L 11/18,H02J 50/00,H02J 7/00,H02J 7/02,H02J 7/04","NISSAN MOTOR CO., LTD."
P00201703717,IDP000069308,30 Jun 2020,(PA) Diberi Paten,2017/13555,15-Dec-17,9-Jun-17,14-Nov-14,"- - -
","G06Q 10/02,G06Q 50/10","NISSAN MOTOR CO., LTD."
P00201607813,IDP000066339,14 Jan 2020,(PA) Diberi Paten,2017/08292,4-Aug-17,16-Nov-16,15-May-14,"- - -
","F01P 3/02,F01P 7/16,F02D 41/22,F02D 41/34,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201705225,IDP000057785,04 Apr 2019,(PA) Diberi Paten,2018/02123,2-Mar-18,9-Aug-17,19-Feb-15,"- - -
","B22C 9/08,B22D 18/04","NISSAN MOTOR CO., LTD."
P00201806970,IDP000071993,09 Oct 2020,(PA) Diberi Paten,2018/10971,5-Oct-18,7-Sep-18,26-Oct-16,"2016-023503 10 Feb 2016 JP
","F16H 59/18,F16H 61/02,F16H 61/14,F16H 61/66","NISSAN MOTOR CO., LTD."
P00201701401,,02 Mar 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2017/13531,15-Dec-17,,-,"2014-160087 06 Aug 2014 JP
","B60L 15/20,H02P 27/06,H02P 29/00","NISSAN MOTOR CO., LTD."
P00201506513,IDP000059293,29 May 2019,(PA) Diberi Paten,2017/03184,31-Mar-17,12-Oct-15,24-Mar-14,"2013-072228 29 Mar 2013 JP
","B60L 11/18,B60M 7/00,H02J 17/00,H02J 7/00","NISSAN MOTOR CO., LTD."
P00201600476,IDP000062022,30 Aug 2019,(PA) Diberi Paten,2017/04743,5-May-17,22-Jan-16,30-May-14,"2013-133438 26 Jun 2013 JP
","B60L 11/18,B60M 7/00,H02J 17/00,H02J 7/00","NISSAN MOTOR CO., LTD."
P00201901086,,13 Jun 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/06289,23-Aug-19,,-,"2016-138027 12 Jul 2016 JP
",G08G 1/16,"NISSAN MOTOR CO., LTD."
P00201800024,,03 Jan 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07011,20-Jul-18,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201601417,IDP000049534,09 Feb 2018,(PA) Masa Tenggang Dihapuskan,2016/05841,28-Oct-16,2-Mar-16,27-Jun-14,"2013-164329 07 Aug 2013 JP
","B60K 1/04,H01M 2/10","NISSAN MOTOR CO., LTD."
P00201810080,,05 Dec 2018,(PA) Persetujuan Direktur untuk Ditarik Kembali,2019/00106,11-Jan-19,,-,"1654522 20 May 2016 FR
","B60K 6/442,B60W 10/06,B60W 10/08,B60W 10/11,B60W 10/26,B60W 20/00,B60W 20/15,B60W 20/40,B60W 30/19","NISSAN MOTOR CO., LTD."
P00201501226,IDP000051646,09 Jul 2018,(PA) Diberi Paten,2016/02670,8-Apr-16,27-Feb-15,16-Aug-13,"2012-201479 13 Sep 2012 JP
","B60H 1/00,B60H 1/22,B60H 1/32,F04B 39/00,F25B 5/04,F25B 6/04","NISSAN MOTOR CO.,LTD."
P00201811211,,30 Mar 2017,(PA) Pemeriksa Substantif,2019/03512,24-May-19,,-,"1656202 30 Jun 2016 FR
","B60L 11/14,B60W 20/19,B60W 20/40","NISSAN MOTOR CO., LTD."
P00201906677,,16 Jan 2017,(PA) Ketua Kelompok Pemeriksa Substantif,2019/05937,16-Aug-19,,-,"- - -
","F02D 41/22,F02D 9/02,F02M 26/06,F02M 26/10","NISSAN MOTOR CO., LTD."
P00201906678,,19 Jan 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/05938,16-Aug-19,,-,"2017-010568 24 Jan 2017 JP
","B60L 15/20,B60L 7/14,B60L 9/18","NISSAN MOTOR CO., LTD."
P00201707238,IDP000058931,20 May 2019,(PA) Diberi Paten,2018/04278,20-Apr-18,18-Oct-17,20-Mar-15,"- - -
","B60K 6/442,B60K 6/543,B60W 10/10,B60W 10/18,B60W 20/00,F16H 61/04","NISSAN MOTOR CO., LTD."
P00201506503,IDP000056638,12 Feb 2019,(PA) Diberi Paten,2017/03220,31-Mar-17,12-Oct-15,24-Mar-14,"2013-072261 29 Mar 2013 JP
","B60L 11/18,B60L 3/00,H02J 5/00,H02J 7/02","NISSAN MOTOR CO., LTD."
P00201602419,IDP000056644,12 Feb 2019,(PA) Masa Tenggang Dihapuskan,2017/05662,26-May-17,11-Apr-16,10-Oct-13,"- - -
","B60K 17/35,B60L 7/10","NISSAN MOTOR CO., LTD,"
P00201506506,IDP000050609,09 Apr 2018,(PA) Diberi Paten,2017/00033,6-Jan-17,12-Oct-15,24-Mar-14,"2013-072256 29 Mar 2013 JP
","B60L 11/18,B60M 7/00,H02J 7/00","NISSAN MOTOR CO., LTD."
P00201506211,IDP000052889,23 Aug 2018,(PA) Diberi Paten,2017/03504,7-Apr-17,2-Oct-15,4-Mar-13,"- - -
","B60R 25/0215,B62D 1/184","NISSAN MOTOR CO., LTD."
P00201900384,IDP000070085,27 Jul 2020,(PA) Diberi Paten,2019/01890,15-Mar-19,16-Jan-19,13-Jul-16,"- - -
",F02D 45/00,"NISSAN MOTOR CO., LTD."
P00201602487,IDP000058327,03 May 2019,(PA) Diberi Paten,2017/05664,26-May-17,13-Apr-16,28-Oct-13,"- - -
","B60K 1/04,B62D 25/08,B62D 43/06","NISSAN MOTOR CO., LTD."
P00201708846,IDP000057389,22 Mar 2019,(PA) Diberi Paten,2018/05395,25-May-18,8-Dec-17,12-May-15,"- - -
","B60L 11/14,B60L 11/18,B60R 16/033,H02J 7/14","NISSAN MOTOR CO., LTD."
P00201901008,,01 Feb 2019,(PA) Ketua Kelompok Pemeriksa Substantif,2019/03809,31-May-19,,-,"2016-134042 06 Jul 2016 JP
","B60R 21/00,B60W 30/10,B60W 40/06","NISSAN MOTOR CO., LTD."
P00201704744,IDP000072376,23 Oct 2020,(PA) Diberi Paten,2018/00569,19-Jan-18,19-Jul-17,26-Jan-15,"- - -
","B05C 9/14,F26B 15/12,F26B 15/14,F26B 21/00","NISSAN MOTOR CO., LTD."
P00201508013,IDP000055244,14 Dec 2018,(PA) Diberi Paten,2017/04350,28-Apr-17,1-Dec-15,28-Mar-14,"2013-117786 04 Jun 2013 JP
","F01L 1/356,F02D 13/02,F02D 17/00,F02D 29/02,F02D 41/04","NISSAN MOTOR CO., LTD."
P00201506509,IDP000055886,15 Jan 2019,(PA) Diberi Paten,2017/00036,6-Jan-17,12-Oct-15,24-Mar-14,"2013-072234 29 Mar 2013 JP
","B60L 11/18,B60M 7/00,H02J 17/00,H02J 7/00","NISSAN MOTOR CO., LTD."
P00201811218,IDP000069156,16 Jun 2020,(PA) Diberi Paten,2019/00108,11-Jan-19,28-Dec-18,21-Jun-16,"- - -
",H02P 27/08,"NISSAN MOTOR CO., LTD."
P00201703822,IDP000059004,22 May 2019,(PA) Diberi Paten,2017/13630,15-Dec-17,14-Jun-17,20-Nov-14,"- - -
","F16D 48/02,F16D 48/06,F16D 48/08","NISSAN MOTOR CO., LTD."
P00201901015,,01 Feb 2019,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2019/03526,24-May-19,,-,"2016-133354 05 Jul 2016 JP
","B60W 30/12,B62D 6/00","NISSAN MOTOR CO., LTD."
P00201900188,,09 Jan 2019,(PA) Pengecekan Pembayaran Substantif,2019/00353,18-Jan-19,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201505388,IDP000058365,03 May 2019,(PA) Diberi Paten,2017/00548,3-Feb-17,2-Sep-15,13-Feb-14,"2013-028442 15 Feb 2013 JP
","B23K 103/04,B23K 26/08,B23K 26/21,B23K 26/32","NISSAN MOTOR CO., LTD."
P00201900263,IDP000068336,26 Mar 2020,(PA) Diberi Paten,2019/00501,25-Jan-19,11-Jan-19,21-Jun-16,"- - -
","H01F 27/28,H01F 5/06","NISSAN MOTOR CO., LTD."
P00201801149,IDP000060481,10 Jul 2019,(PA) Diberi Paten,2018/07640,27-Jul-18,14-Feb-18,27-Jul-15,"- - -
","G01C 21/34,G08G 1/0969","NISSAN MOTOR CO., LTD."
P00201801219,IDP000070561,13 Aug 2020,(PA) Diberi Paten,2018/07913,27-Jul-18,28-Jul-15,28-Jul-15,"- - -
","B60R 21/00,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201801225,IDP000065351,12 Dec 2019,(PA) Diberi Paten,2018/07923,27-Jul-18,19-Feb-18,28-Jul-15,"- - -
","B60K 31/00,B60R 21/00,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201800350,IDP000059086,23 May 2019,(PA) Diberi Paten,2018/07395,20-Jul-18,15-Jan-18,23-Jun-15,"- - -
","H02M 7/48,H02M 7/5387","NISSAN MOTOR CO., LTD."
P00201801357,IDP000067396,14 Feb 2020,(PA) Diberi Paten,2018/07641,27-Jul-18,23-Feb-18,27-Jul-15,"- - -
","G01C 21/26,G08G 1/0969","NISSAN MOTOR CO., LTD."
P00201902036,IDP000072712,12 Nov 2020,(PA) Diberi Paten,2019/02617,12-Apr-19,8-Mar-19,6-Sep-16,"- - -
","B60K 6/485,B60W 10/08,B60W 20/17,B60W 30/20",NISSAN MOTOR CO.. LTD.
P00201902755,IDP000071964,07 Oct 2020,(PA) Diberi Paten,2019/05042,12-Jul-19,29-Mar-19,16-Sep-16,"- - -
",F16H 61/02,"NISSAN MOTOR CO., LTD."
P00201808288,,17 Oct 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/12687,7-Dec-18,,-,"2016-056445 22 Mar 2016 JP
","B60R 16/03,H01M 10/44,H01M 10/48,H01M 2/10,H02J 7/14","NISSAN MOTOR CO., LTD."
P00201800027,,03 Jan 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/06081,8-Jun-18,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201800030,,03 Jan 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07036,20-Jul-18,,-,"1556428 07 Jul 2015 FR
",-,"NISSAN MOTOR CO., LTD."
P00201800032,IDP000058859,16 May 2019,(PA) Diberi Paten,2018/06974,13-Jul-18,3-Jan-18,9-Jun-15,"- - -
","B60K 6/442,B60K 6/547,B60L 11/14,B60W 10/00,B60W 10/08,B60W 20/00","NISSAN MOTOR CO., LTD."
P00201801222,,19 Feb 2018,(PA) Pemeriksa Substantif,2018/07919,27-Jul-18,,-,"- - -
","B60R 21/00,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201903408,,11 Dec 2020,(PA) Persetujuan Direktur untuk Diberi,2019/03116,10-May-19,,-,"- - -
",B60W 30/06,"NISSAN MOTOR CO., LTD."
P00201800348,IDP000071537,18 Sep 2020,(PA) Diberi Paten,2018/07391,20-Jul-18,15-Jan-18,23-Jun-15,"- - -
",F02M 25/08,"NISSAN MOTOR CO., LTD."
P00201801358,IDP000063125,03 Oct 2019,(PA) Diberi Paten,2018/07653,27-Jul-18,23-Feb-18,30-Jul-15,"- - -
","B60K 35/00,F02D 15/00,F02D 29/02","NISSAN MOTOR CO., LTD."
P00201801359,,23 Feb 2018,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/07987,3-Aug-18,,-,"- - -
",B60L 7/24,"NISSAN MOTOR CO., LTD."
P00201709197,IDP000058103,30 Apr 2019,(PA) Diberi Paten,2018/05809,31-May-18,18-Dec-17,22-May-15,"- - -
",B25J 19/06,"NISSAN MOTOR CO., LTD."
P00201808294,IDP000061410,07 Aug 2019,(PA) Diberi Paten,2018/11533,25-Oct-18,17-Oct-18,22-Mar-16,"- - -
",B62D 25/20,"NISSAN MOTOR CO., LTD."
P00201902873,,04 Apr 2019,(PA) Pemeriksa Substantif,2019/05705,9-Aug-19,,-,"- - -
","B60R 21/00,B60W 30/06,G05D 1/00","NISSAN MOTOR CO.,LTD."
P00201702350,,12 Apr 2017,(PA) Ketua Kelompok Pemeriksa Substantif,2017/12826,24-Nov-17,,-,"- - -
",F16C 9/02,"NISSAN MOTOR CO., LTD."
P00201800416,IDP000060658,16 Jul 2019,(PA) Diberi Paten,2018/07363,20-Jul-18,17-Jan-18,24-Jun-15,"- - -
","B60K 6/442,B60K 6/547,B60W 10/06,B60W 10/08,B60W 20/13","NISSAN MOTOR CO., LTD."
P00201800236,IDP000059468,13 Jun 2019,(PA) Diberi Paten,2018/07389,20-Jul-18,10-Jan-18,15-Jun-15,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201906673,IDP000072877,17 Nov 2020,(PA) Pembuatan Sertifikat,2019/05932,16-Aug-19,24-Jan-17,24-Jan-17,"- - -
",B60L 9/18,"NISSAN MOTOR CO., LTD."
P00201709113,IDP000058660,13 May 2019,(PA) Diberi Paten,2018/05444,25-May-18,15-Dec-17,20-May-15,"- - -
","H02K 5/20,H02K 9/02","NISSAN MOTOR CO., LTD."
PID201802849,IDP000070861,24 Aug 2020,(PA) Diberi Paten,2018/07775,27-Jul-18,30-Sep-15,30-Sep-15,"- - -
",H02P 27/06,"NISSAN MOTOR CO., LTD."
P00201903662,,30 Apr 2019,(PA) Pelayanan Teknis,2019/05762,9-Aug-19,,-,"- - -
","B60R 21/00,B60W 30/06,G08G 1/16,B60W 50/14","NISSAN MOTOR CO.,LTD."
P00201902035,IDP000072872,17 Nov 2020,(PA) Pembuatan Sertifikat,2019/03787,31-May-19,8-Mar-19,23-Aug-16,"- - -
",H02M 7/48,"NISSAN MOTOR CO., LTD."
PID201902598,,11 Jul 2017,(PA) Pelayanan Teknis,2019/05715,9-Aug-19,,-,"1658953 23 Sep 2016 FR
",F16H 61/04,"NISSAN MOTOR CO., LTD"
P00201709204,,18 Dec 2017,(PA) Ketua Kelompok Pemeriksa Substantif,2018/06040,8-Jun-18,,-,"- - -
",-,"NISSAN MOTOR CO., LTD."
P00201801226,IDP000070562,13 Aug 2020,(PA) Diberi Paten,2018/07926,27-Jul-18,19-Feb-18,28-Jul-15,"- - -
","B60R 21/00,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201709202,IDP000057349,21 Mar 2019,(PA) Diberi Paten,2018/06039,8-Jun-18,18-Dec-17,22-May-15,"- - -
","B60R 16/03,B60R 16/04,H02J 7/14","NISSAN MOTOR CO., LTD."
P00201903769,IDP000072874,17 Nov 2020,(PA) Pembuatan Sertifikat,2019/03561,24-May-19,3-May-19,13-Oct-16,"- - -
","B60W 30/06,B60W 30/08,B60W 50/10,G08G 1/16","NISSAN MOTOR CO., LTD."
P00201800573,IDP000066028,03 Jan 2020,(PA) Diberi Paten,2018/09106,16-Aug-18,24-Jan-18,26-Jun-15,"- - -
","G01C 21/28,G08G 1/0969","NISSAN MOTOR CO., LTD."
P00201707717,IDP000057880,09 Apr 2019,(PA) Diberi Paten,2018/05464,25-May-18,1-Nov-17,3-Apr-15,"- - -
","F02B 75/04,F02B 75/32","NISSAN MOTOR CO., LTD."
P00201709311,,20 Dec 2017,(PA) Ketua Kelompok Pemeriksa Substantif,2018/06041,8-Jun-18,,-,"- - -
",B25J 19/06,"NISSAN MOTOR CO., LTD."
P00201709313,,20 Dec 2017,(PA) Ketua Kelompok Pemeriksa Substantif,2018/06042,8-Jun-18,,-,"- - -
","H02K 9/19,H02M 7/48,H02K 11/00","NISSAN MOTOR CO., LTD."
P00201704739,IDP000062928,27 Sep 2019,(PA) Diberi Paten,2018/00593,19-Jan-18,19-Jul-17,26-Jan-15,"- - -
","B05B 9/04,B05C 11/00,B05D 3/02,B05D 7/14,F26B 9/00","NISSAN MOTOR CO., LTD."
P00201706727,IDP000065450,13 Dec 2019,(PA) Diberi Paten,2018/04052,20-Apr-18,2-Oct-17,4-Mar-15,"- - -
","F02D 41/34,F02D 45/00","NISSAN MOTOR CO., LTD."
P00201708110,IDP000062894,26 Sep 2019,(PA) Diberi Paten,2018/05392,25-May-18,15-Nov-17,16-Apr-15,"- - -
","F02D 13/02,F02D 41/04,F02D 41/06,F02D 41/10","NISSAN MOTOR CO., LTD."
P00201708216,,17 Nov 2017,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2018/05394,25-May-18,,-,"- - -
",G08G 1/09,"NISSAN MOTOR CO., LTD."
P00201707852,IDP000063591,15 Oct 2019,(PA) Diberi Paten,2018/05226,18-May-18,6-Nov-17,7-Apr-15,"- - -
","F01N 13/00,F01N 3/00,F02D 35/00,F02D 41/14","NISSAN MOTOR CO., LTD."
P00201707914,IDP000061643,20 Aug 2019,(PA) Diberi Paten,2018/05229,18-May-18,8-Nov-17,14-Apr-15,"- - -
","F02D 41/02,F02D 41/06","NISSAN MOTOR CO., LTD."
P00201800692,IDP000060510,10 Jul 2019,(PA) Diberi Paten,2018/07404,20-Jul-18,29-Jan-18,2-Jul-15,"- - -
","F02D 15/02,F02D 23/00,F02D 41/04","NISSAN MOTOR CO., LTD."
P00201809044,IDP000070204,29 Jul 2020,(PA) Diberi Paten,2018/12484,30-Nov-18,9-Nov-18,20-Apr-16,"- - -
","B60R 11/02,G06F 3/01,G06F 3/0346,G06F 3/048","NISSAN MOTOR CO., LTD."
P00201800696,IDP000060389,05 Jul 2019,(PA) Masa Tenggang Dihapuskan,2018/07405,20-Jul-18,29-Jan-18,7-Jul-15,"- - -
",B60W 20/00,"NISSAN MOTOR CO., LTD."
P00201902387,IDP000071684,22 Sep 2020,(PA) Diberi Paten,2019/05039,12-Jul-19,20-Mar-19,16-Sep-16,"- - -
","F02D 17/00,F02D 29/02,F02D 45/00","NISSAN MOTOR CO., LTD."
